Date,Time,Weekday,To Home,To Work
2016-10-21,23:25,Friday,27 mins,29 mins
2016-10-21,23:30,Friday,26 mins,30 mins
2016-10-21,23:35,Friday,27 mins,29 mins
2016-10-21,23:40,Friday,26 mins,29 mins
2016-10-21,23:45,Friday,26 mins,29 mins
2016-10-21,23:50,Friday,26 mins,29 mins
2016-10-21,23:55,Friday,26 mins,29 mins
2016-10-24,05:00,Monday,24 mins,25 mins
2016-10-24,05:05,Monday,24 mins,24 mins
2016-10-24,05:10,Monday,24 mins,24 mins
2016-10-24,05:15,Monday,24 mins,25 mins
2016-10-24,05:20,Monday,25 mins,25 mins
2016-10-24,05:25,Monday,25 mins,25 mins
2016-10-24,05:30,Monday,25 mins,25 mins
2016-10-24,05:35,Monday,25 mins,25 mins
2016-10-24,05:40,Monday,25 mins,25 mins
2016-10-24,05:45,Monday,25 mins,26 mins
2016-10-24,05:50,Monday,26 mins,26 mins
2016-10-24,05:55,Monday,27 mins,26 mins
2016-10-24,06:00,Monday,27 mins,27 mins
2016-10-24,06:05,Monday,29 mins,30 mins
2016-10-24,06:10,Monday,31 mins,31 mins
2016-10-24,06:15,Monday,36 mins,36 mins
2016-10-24,06:20,Monday,40 mins,42 mins
2016-10-24,06:25,Monday,41 mins,44 mins
2016-10-24,06:30,Monday,47 mins,48 mins
2016-10-24,06:35,Monday,47 mins,52 mins
2016-10-24,06:40,Monday,51 mins,50 mins
2016-10-24,06:45,Monday,53 mins,51 mins
2016-10-24,06:50,Monday,51 mins,53 mins
2016-10-24,06:55,Monday,54 mins,54 mins
2016-10-24,07:00,Monday,53 mins,56 mins
2016-10-24,07:05,Monday,53 mins,57 mins
2016-10-24,07:10,Monday,57 mins,1 hour 1 min
2016-10-24,07:15,Monday,57 mins,1 hour 0 mins
2016-10-24,07:20,Monday,54 mins,1 hour 2 mins
2016-10-24,07:25,Monday,57 mins,1 hour 2 mins
2016-10-24,07:30,Monday,57 mins,1 hour 1 min
2016-10-24,07:35,Monday,1 hour 0 mins,1 hour 1 min
2016-10-24,07:40,Monday,1 hour 0 mins,57 mins
2016-10-24,07:45,Monday,1 hour 1 min,58 mins
2016-10-24,07:50,Monday,1 hour 3 mins,59 mins
2016-10-24,07:55,Monday,1 hour 1 min,57 mins
2016-10-24,17:00,Monday,53 mins,38 mins
2016-10-24,17:05,Monday,54 mins,37 mins
2016-10-24,17:10,Monday,57 mins,35 mins
2016-10-24,17:15,Monday,1 hour 0 mins,35 mins
2016-10-24,17:20,Monday,59 mins,35 mins
2016-10-24,17:25,Monday,58 mins,34 mins
2016-10-24,17:30,Monday,59 mins,37 mins
2016-10-24,17:35,Monday,56 mins,36 mins
2016-10-24,17:40,Monday,56 mins,33 mins
2016-10-24,17:45,Monday,56 mins,34 mins
2016-10-24,17:50,Monday,55 mins,32 mins
2016-10-24,17:55,Monday,56 mins,32 mins
2016-10-24,18:00,Monday,56 mins,33 mins
2016-10-24,18:05,Monday,54 mins,31 mins
2016-10-24,18:10,Monday,53 mins,32 mins
2016-10-24,18:15,Monday,53 mins,33 mins
2016-10-24,18:20,Monday,50 mins,33 mins
2016-10-24,18:25,Monday,50 mins,32 mins
2016-10-24,18:30,Monday,49 mins,32 mins
2016-10-24,18:35,Monday,48 mins,31 mins
2016-10-24,18:40,Monday,49 mins,32 mins
2016-10-24,18:45,Monday,48 mins,32 mins
2016-10-24,18:50,Monday,48 mins,31 mins
2016-10-24,18:55,Monday,49 mins,31 mins
2016-10-24,19:00,Monday,45 mins,31 mins
2016-10-24,19:05,Monday,45 mins,29 mins
2016-10-24,19:10,Monday,45 mins,29 mins
2016-10-24,19:15,Monday,43 mins,28 mins
2016-10-24,19:20,Monday,45 mins,27 mins
2016-10-24,19:25,Monday,41 mins,27 mins
2016-10-24,19:30,Monday,39 mins,27 mins
2016-10-24,19:35,Monday,38 mins,26 mins
2016-10-24,19:40,Monday,37 mins,26 mins
2016-10-24,19:45,Monday,37 mins,26 mins
2016-10-24,19:50,Monday,35 mins,26 mins
2016-10-24,19:55,Monday,34 mins,27 mins
2016-10-24,23:00,Monday,26 mins,25 mins
2016-10-24,23:05,Monday,26 mins,25 mins
2016-10-24,23:10,Monday,25 mins,26 mins
2016-10-24,23:15,Monday,26 mins,25 mins
2016-10-24,23:20,Monday,25 mins,25 mins
2016-10-24,23:25,Monday,25 mins,25 mins
2016-10-24,23:30,Monday,25 mins,25 mins
2016-10-24,23:35,Monday,25 mins,25 mins
2016-10-24,23:40,Monday,25 mins,25 mins
2016-10-24,23:45,Monday,25 mins,25 mins
2016-10-24,23:50,Monday,26 mins,25 mins
2016-10-24,23:55,Monday,25 mins,25 mins
2016-10-25,05:00,Tuesday,24 mins,24 mins
2016-10-25,05:05,Tuesday,25 mins,25 mins
2016-10-25,05:10,Tuesday,25 mins,25 mins
2016-10-25,05:15,Tuesday,25 mins,25 mins
2016-10-25,05:20,Tuesday,25 mins,25 mins
2016-10-25,05:25,Tuesday,25 mins,25 mins
2016-10-25,05:30,Tuesday,25 mins,25 mins
2016-10-25,05:35,Tuesday,25 mins,25 mins
2016-10-25,05:40,Tuesday,25 mins,25 mins
2016-10-25,05:45,Tuesday,25 mins,25 mins
2016-10-25,05:50,Tuesday,26 mins,25 mins
2016-10-25,05:55,Tuesday,26 mins,25 mins
2016-10-25,06:00,Tuesday,28 mins,26 mins
2016-10-25,06:05,Tuesday,30 mins,27 mins
2016-10-25,06:10,Tuesday,32 mins,28 mins
